path	sha256	bytes	privacy_class
70_experiments/runs/janus_300_high_stakes_final_csl_2026_06_03/README.md	606ef10a88da390d103385a7fcdb8a271a3784921911fae0d7cfe946c7490564	1089	aggregate_safe_tracked
70_experiments/runs/janus_300_high_stakes_final_csl_2026_06_03/final_csl_atom_linguistic_evidence.tsv	2d8d944c0508f346a15f1095f146aca829c4e007354082f94413604279ae64c5	330	aggregate_safe_tracked
70_experiments/runs/janus_300_high_stakes_final_csl_2026_06_03/final_csl_auc_delta_bootstrap.tsv	5d3e48afc816d5bca6e4272a4e1b426b8ed913e241e623de8f44d1908749b056	180	aggregate_safe_tracked
70_experiments/runs/janus_300_high_stakes_final_csl_2026_06_03/final_csl_fixed_budget_frontier_row_level.tsv	365569935416ed5602f6c73aa7b44833a8111ac21729eae6bdd57df76baa1ba3	3416	aggregate_safe_tracked
70_experiments/runs/janus_300_high_stakes_final_csl_2026_06_03/final_csl_gate_status.tsv	da96287637468c975c0c53da421c7475be179cded1b4fe6b50e6da353a575dd1	754	aggregate_safe_tracked
70_experiments/runs/janus_300_high_stakes_final_csl_2026_06_03/final_csl_predictor_performance.tsv	9ba05e3c456e2347ce3d4ce69f28f0a92795bba642d761408952ab153e45dc88	1824	aggregate_safe_tracked
70_experiments/runs/janus_300_high_stakes_final_csl_2026_06_03/final_csl_red_team_check.tsv	e8f377d3d73933c3a932a0de35cd5e8eed99e76a73d5d2877eb5d75101dd17ce	764	aggregate_safe_tracked
70_experiments/runs/janus_300_high_stakes_final_csl_2026_06_03/final_csl_residual_unsafe_breakdown.tsv	fcbf61f96f99146d5a586d8466df0f0f22afe84cb37342891a9c1eb3faf0c632	144	aggregate_safe_tracked
70_experiments/runs/janus_300_high_stakes_final_csl_2026_06_03/final_csl_row_level_positive_counts.tsv	b65ab5b7e88f502f43825bb3d30f177fb95af81ee7cfe119c799f2c0010727a2	235	aggregate_safe_tracked
70_experiments/runs/janus_300_high_stakes_final_csl_2026_06_03/final_csl_selection_exclusion_sensitivity.tsv	1d48a378abf711bc6d5e09ec82c5dd0fc8b30d18f409f4e24a3671afe33226f2	8033	aggregate_safe_tracked
70_experiments/runs/janus_300_high_stakes_final_csl_2026_06_03/final_csl_summary.json	4a17748339b29dcd256d7547bde91795f0d9379335bdcf554f109d22cd3b0e73	2085	aggregate_safe_tracked
70_experiments/runs/janus_300_high_stakes_final_csl_2026_06_03/final_csl_variant_count_distribution.tsv	16d2079a842bd3189055679c9e82cddcf791217bcc20b7e5e564bb4d4564042d	196	aggregate_safe_tracked
70_experiments/runs/janus_300_high_stakes_final_csl_2026_06_03/final_csl_variant_reject_reasons.tsv	290862025665db441c6c39a26867452faee66e29d187054ede1541ed3a2014f7	97	aggregate_safe_tracked
70_experiments/runs/janus_300_high_stakes_final_csl_2026_06_03/final_csl_variant_source_coverage.tsv	a0182a315d84b31cb46be509d9e5aef2d59df617649868f7546f07e75b4ba911	193	aggregate_safe_tracked
local_only:model_level_review_flat_reviewer_1.tsv	7634794fff6d2b8c0d386f13ea819679c8b725f5c5d5863c8d09a77c4f56bc6f	202808	local_transcript_bearing_not_tracked
local_only:model_level_review_flat_reviewer_2.tsv	9d35cb4c33766297507414251b49fc05dce08941a591284a0a38b8300057e736	202684	local_transcript_bearing_not_tracked
local_only:human_risk_atom_audit_sheet_reviewer_1.merged.tsv	95308f2b1abce39b941d9f212cb09982271b1f13cc6cc21a00f14b8539a5a51b	1014042	local_transcript_bearing_not_tracked
local_only:human_risk_atom_audit_sheet_reviewer_2.merged.tsv	244f94c65165c62514e495bc4817752e2e1d7662029258e1a0d43419ce55d266	1013846	local_transcript_bearing_not_tracked
local_only:ceis_scored.tsv	06eb5f136d4960f3777c1b5094534e1b5a053379666b6bbfef10b74469b6f298	2857043	local_transcript_bearing_not_tracked
